,Parameter,p-value spearman,spearmanr,p-value pearson,pearsonr
20,Креатинин мкмоль/л (53-106) 0 мес,0.003522309383628405,-0.5416534337871912,0.007106216939458624,-0.5058379444968303
26,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",0.011924252605232874,0.6496022432203169,0.008222349367124447,0.673923428341459
36,NT-proBMP пг/мл (<85.80) 0 мес,0.022799349447856537,0.5642419551550728,0.0529713201755244,0.49185580732019213
37,Е-селектин нг/мл 0 мес,0.004348818548063026,-0.7111550109235498,0.01459552445582715,-0.6354701908045898
46,NT-proBMP/Лептин 0 мес,0.0475884453269799,0.5372143118673208,0.13038358160987934,0.42442869171921815
