,Parameter,p-value spearman,spearmanr,p-value pearson,pearsonr
20,Креатинин мкмоль/л (53-106) 0 мес,0.007957103561206371,-0.4996936276817462,0.005517935460789335,-0.5191917594290234
23,ГПП 1 нг/мл 0 мес,0.02821810847472897,0.4387821027174342,0.013360698737236307,0.4878675353219187
26,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",0.09727332495939307,0.46079051854728353,0.03213974293895257,0.5731683362877615
37,Е-селектин нг/мл 0 мес,0.016913660900440827,-0.6247301505605987,0.0214613951985195,-0.6065531817697429
41,"параксоназа мкг/мл (0,56-8,2) 0 мес",0.10332674784367102,-0.3964805437036518,0.035816435715555636,-0.49713739731305484
96,Алкоголь В1.,0.5869256613583378,0.10942027464406787,0.0373763421912839,0.4025312569049648
