,Parameter,p-value spearman,spearmanr,p-value pearson,pearsonr
13,Пульс,0.011335575594165424,0.6751623181459077,0.014718725227352672,0.6568889884435742
26,Мочевая Кислота,0.10244230662768153,0.4731778891774273,0.03623166261682608,0.583695281043214
47,NT-proBMP/Адипонектин 0 мес,0.01647097883651441,0.7000000000000001,0.15901284181975164,0.4556414468426737
52,Экстернальное ПП,0.16356915668194097,-0.41046987709801197,0.026142123372932556,-0.6122205123443137
57,Сколько может сьесть,0.40331612601233435,0.25350648260579817,0.03960258062623102,0.5754741760330733
