,Parameter,p-value spearman,spearmanr,p-value pearson,pearsonr
20,Креатинин мкмоль/л (53-106) 0 мес,0.019268264832274923,-0.48403142759793427,0.01090763713499992,-0.5203908774517815
23,ГПП 1 нг/мл 0 мес,0.002339165793866269,0.6272343522661803,0.009621517200318543,0.5510641649022741
36,Е-селектин нг/мл 0 мес,0.014595208787476669,-0.6574971832174717,0.015227144675757313,-0.6544251726681988
40,"параксоназа мкг/мл (0,56-8,2) 0 мес",0.0331301472517554,-0.518109367112849,0.01773203087956422,-0.5665456752062914
